xdist,material,xdelta
0.000000,0,0.092627
0.092627,0,0.092627
0.185254,0,0.092627
0.277881,0,0.092627
0.370507,0,0.092627
0.463134,0,0.092627
0.555761,0,0.092627
0.648388,0,0.092627
0.741015,0,0.092627
0.833642,0,0.092627
0.926268,0,0.092627
1.018895,0,0.092627
1.111522,0,0.092627
1.204149,0,0.092627
1.296776,0,0.092627
1.389403,0,0.092627
1.482029,0,0.092627
1.574656,0,0.092627
1.667283,0,0.092627
1.759910,0,0.092627
1.852537,0,0.092627
1.945164,0,0.092627
2.037790,0,0.092627
2.130417,0,0.092627
2.223044,0,0.092627
2.315671,0,0.092627
2.408298,0,0.092627
2.500925,0,0.092627
2.593551,0,0.092627
2.686178,0,0.092627
2.778805,0,0.092627
2.871432,0,0.092627
2.964059,0,0.092627
3.056686,0,0.092627
3.149312,0,0.092627
3.241939,0,0.092627
3.334566,0,0.092627
3.427193,0,0.092627
3.519820,0,0.092627
3.612447,0,0.092627
3.705073,0,0.092627
3.797700,0,0.092627
3.890327,0,0.092627
3.982954,0,0.092627
4.075581,0,0.092627
4.168208,0,0.092627
4.260834,0,0.092627
4.353461,0,0.092627
4.446088,0,0.092627
4.538715,0,0.092627
4.631342,1,0.107373
4.738715,1,0.107373
4.846088,1,0.107373
4.953461,1,0.107373
5.060834,1,0.107373
5.168208,1,0.107373
5.275581,1,0.107373
5.382954,1,0.107373
5.490327,1,0.107373
5.597700,1,0.107373
5.705073,1,0.107373
5.812447,1,0.107373
5.919820,1,0.107373
6.027193,1,0.107373
6.134566,1,0.107373
6.241939,1,0.107373
6.349312,1,0.107373
6.456686,1,0.107373
6.564059,1,0.107373
6.671432,1,0.107373
6.778805,1,0.107373
6.886178,1,0.107373
6.993551,1,0.107373
7.100925,1,0.107373
7.208298,1,0.107373
7.315671,1,0.107373
7.423044,1,0.107373
7.530417,1,0.107373
7.637790,1,0.107373
7.745164,1,0.107373
7.852537,1,0.107373
7.959910,1,0.107373
8.067283,1,0.107373
8.174656,1,0.107373
8.282029,1,0.107373
8.389403,1,0.107373
8.496776,1,0.107373
8.604149,1,0.107373
8.711522,1,0.107373
8.818895,1,0.107373
8.926268,1,0.107373
9.033642,1,0.107373
9.141015,1,0.107373
9.248388,1,0.107373
9.355761,1,0.107373
9.463134,1,0.107373
9.570507,1,0.107373
9.677881,1,0.107373
9.785254,1,0.107373
9.892627,1,0.107373
